date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev
111912	09:11:22	10030	Language	Language	0	French	2005	0	0	09:11:22	2122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	Session	Session	0	3mo	1585	0	0	09:11:22	3788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	HandFr	HandFr	0	RightFr	139606	0	0	09:11:22	143466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	AudioCheckFr	WordsFr	0	0	0	0	0	09:11:22	2222462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	CubeFr	CubeFr	1	1Cube	46197	0	0	09:11:22	2272171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	blank.simpleFr	2	0	2200	1	0	09:11:22	2311116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	pm.simpleFr	2	57	466	0	0	09:11:22	2311609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	blank.simpleFr	2	0	1700	1	0	09:11:22	2313328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	pm.simpleFr	2	57	335	0	0	09:11:22	2313688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	blank.simpleFr	2	0	1900	1	0	09:11:22	2315607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	pm.simpleFr	2	57	495	0	0	09:11:22	2316127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	blank.simpleFr	2	0	2300	1	0	09:11:22	2318446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	pm.simpleFr	2	57	369	0	0	09:11:22	2318833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	blank.simpleFr	2	0	2400	1	0	09:11:22	2321245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	pm.simpleFr	2	57	610	0	0	09:11:22	2321887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	blank.simpleFr	2	0	1800	1	0	09:11:22	2323711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	pm.simpleFr	2	57	385	0	0	09:11:22	2324129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	blank.simpleFr	2	0	1500	1	0	09:11:22	2325643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	pm.simpleFr	2	57	324	0	0	09:11:22	2325990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	blank.simpleFr	2	0	2000	1	0	09:11:22	2328002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	pm.simpleFr	2	57	302	0	0	09:11:22	2328322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	blank.simpleFr	2	0	2500	1	0	09:11:22	2330841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	pm.simpleFr	2	57	340	0	0	09:11:22	2331201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	blank.simpleFr	2	0	2100	1	0	09:11:22	2333320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	pm.simpleFr	2	57	359	0	0	09:11:22	2333707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111912	09:11:22	10030	pm.simpleFrRight	blank.simpleFr	2	0	1600	1	0	09:11:22	2335320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
