date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev
091812	16:03:59	89866	Language	Language	0	English	10575	0	0	16:03:59	10692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
091812	16:03:59	89866	Session	Session	0	Baseline	866	0	0	16:03:59	11652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
091812	16:03:59	89866	HandEng	HandEng	0	Right	766	0	0	16:03:59	12491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
091812	16:03:59	89866	CubeEng	CubeEng	1	1Cube	1578	0	0	16:03:59	22701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
091812	16:03:59	89866	pm.simpleEngRight	blank.simpleEng	2	0	1487	1	0	16:03:59	25233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
091812	16:03:59	89866	pm.simpleEngRight	pm.simpleEng	2	57	274	0	0	16:03:59	25540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
091812	16:03:59	89866	pm.simpleEngRight	blank.simpleEng	2	0	2287	1	0	16:03:59	27859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
091812	16:03:59	89866	pm.simpleEngRight	pm.simpleEng	2	57	3297	0	0	16:03:59	31191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
091812	16:03:59	89866	pm.simpleEngRight	blank.simpleEng	2	0	1587	1	0	16:03:59	32803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
091812	16:03:59	89866	pm.simpleEngRight	pm.simpleEng	2	57	7311	0	0	16:03:59	40147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
