date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev	values.problemnumber	values.subjectattempts	values.targetmoves	values.subjectmoves	expressions.excessmoves	values.movestring	expressions.targetachieved	values.problemscore	values.totalscoreL	expressions.firstmovetime	expressions.executiontime	expressions.solutiontime	values.t_choicestart	values.t_choiceend
121412	09:11:54	1	Language	Language	0	French	4777	0	0	09:11:54	4954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Session	Session	0	3mo	4375	0	0	09:11:54	9394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	HandFr	HandFr	0	RightFr	40411	0	0	09:11:54	49899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	AudioCheckFr	WordsFr	0	0	0	0	0	09:11:54	72347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseIL	14	0	175	0	0	09:11:54	129909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	IncongruentLeft	14	0	1000	0	0	09:11:54	130923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseCR	14	0	175	0	0	09:11:54	131616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	CongruentRight	14	0	1000	0	0	09:11:54	132629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseIR	14	0	175	0	0	09:11:54	133323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	IncongruentRight	14	0	1000	0	0	09:11:54	134336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseCL	14	0	175	0	0	09:11:54	135029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	CongruentLeft	14	0	1000	0	0	09:11:54	136042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseCR	14	0	175	0	0	09:11:54	136736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	CongruentRight	14	0	1000	0	0	09:11:54	137749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseIR	14	0	175	0	0	09:11:54	138442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	IncongruentRight	14	0	1000	0	0	09:11:54	139456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseCL	14	0	175	0	0	09:11:54	140149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	CongruentLeft	14	0	1000	0	0	09:11:54	141162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseIL	14	0	175	0	0	09:11:54	141856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	IncongruentLeft	14	0	1000	0	0	09:11:54	142869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseIL	14	0	175	0	0	09:11:54	143562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	IncongruentLeft	14	0	1000	0	0	09:11:54	144575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseCR	14	0	175	0	0	09:11:54	145270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	CongruentRight	14	0	1000	0	0	09:11:54	146282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseIR	14	0	175	0	0	09:11:54	146975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	IncongruentRight	14	0	1000	0	0	09:11:54	147989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseCL	14	0	175	0	0	09:11:54	148682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	CongruentLeft	14	0	1000	0	0	09:11:54	149695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseCR	14	0	175	0	0	09:11:54	150388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	CongruentRight	14	0	1000	0	0	09:11:54	151402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseIL	14	0	175	0	0	09:11:54	152096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	IncongruentLeft	14	0	1000	0	0	09:11:54	153109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseIR	14	0	175	0	0	09:11:54	153803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	IncongruentRight	14	0	1000	0	0	09:11:54	154815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseCR	14	0	175	0	0	09:11:54	155508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	CongruentRight	14	0	1000	0	0	09:11:54	156522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseCL	14	0	175	0	0	09:11:54	157215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	CongruentLeft	14	0	1000	0	0	09:11:54	158228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseCR	14	0	175	0	0	09:11:54	158922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	CongruentRight	14	0	1000	0	0	09:11:54	159935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseIR	14	0	175	0	0	09:11:54	160628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	IncongruentRight	14	0	1000	0	0	09:11:54	161642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseIL	14	0	175	0	0	09:11:54	162336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	IncongruentLeft	14	0	1000	0	0	09:11:54	163348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	ResponseIL	14	0	175	0	0	09:11:54	164042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
121412	09:11:54	1	Trial	IncongruentLeft	14	0	1000	0	0	09:11:54	165055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	0	0	0	0
