date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev	values.problemnumber	values.subjectattempts	values.targetmoves	values.subjectmoves	expressions.excessmoves	values.movestring	expressions.targetachieved	values.problemscore	values.totalscoreL	expressions.firstmovetime	expressions.executiontime	expressions.solutiontime	values.t_choicestart	values.t_choiceend
121412	12:07:01	1	test	choice	0	R	910	0	0	12:07:01	185966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	1	-2	B3R	0	0	9	5094	0	0	185039	185966
121412	12:07:01	1	test	choice	0	B	746	0	0	12:07:01	187709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	2	-1	B3R2B	0	0	9	5094	0	0	186949	187708
121412	12:07:01	1	test	feedback	0	0	2000	0	0	12:07:01	190689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	3	0	B3R2B2	1	2	11	5094	4724	9818	186949	187708
121412	12:07:01	1	test	choice	0	R	4582	0	0	12:07:01	196318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	4	0	-4	R	0	0	11	4617	0	0	191700	196317
121412	12:07:01	1	test	choice	0	G	953	0	0	12:07:01	198543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	4	1	-3	R3G	0	0	11	4617	0	0	197574	198543
121412	12:07:01	1	test	choice	0	R	1001	0	0	12:07:01	200430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	4	2	-2	R3G2R	0	0	11	4617	0	0	199414	200430
121412	12:07:01	1	test	choice	0	G	1083	0	0	12:07:01	202525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	4	3	-1	R3G2R1G	0	0	11	4617	0	0	201422	202525
121412	12:07:01	1	test	feedback	0	0	2000	0	0	12:07:01	205464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	4	4	0	R3G2R1G1	1	3	14	4617	7137	11754	201422	202525
121412	12:07:01	1	test	choice	0	R	11070	0	0	12:07:01	217565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	4	0	-4	R	0	0	14	11097	0	0	206468	217565
121412	12:07:01	1	test	choice	0	R	5632	0	0	12:07:01	224940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	4	1	-3	R3R	0	0	14	11097	0	0	219285	224940
