date	time	subject	trialcode	latency	response	values.problemnumber	values.subjectattempts	values.targetmoves	values.subjectmoves	expressions.excessmoves	values.movestring	expressions.targetachieved	values.problemscore	values.totalscore	expressions.firstmovetime	expressions.executiontime	expressions.solutiontime	values.t_choicestart	values.t_choiceend
111512	11:00:24	1	choice	1904	B	3	1	3	8	5	B3R2G2G1R1B2B3B2B	0	0	6	9714	0	0	166875	168828
111512	11:00:24	1	choice	1325	B	3	1	3	9	6	B3R2G2G1R1B2B3B2B3B	0	0	6	9714	0	0	170710	172089
111512	11:00:24	1	choice	1542	B	3	1	3	10	7	B3R2G2G1R1B2B3B2B3B2B	0	0	6	9714	0	0	173382	174971
111512	11:00:24	1	choice	1245	B	3	1	3	11	8	B3R2G2G1R1B2B3B2B3B2B3B	0	0	6	9714	0	0	176466	177766
111512	11:00:24	1	choice	1043	B	3	1	3	12	9	B3R2G2G1R1B2B3B2B3B2B3B2B	0	0	6	9714	0	0	178848	179950
111512	11:00:24	1	choice	9513	B	3	1	3	13	10	B3R2G2G1R1B2B3B2B3B2B3B2B3B	0	0	6	9714	0	0	183211	192778
111512	11:00:24	1	choice	1616	B	3	1	3	14	11	B3R2G2G1R1B2B3B2B3B2B3B2B3B2B	0	0	6	9714	0	0	194133	195797
111512	11:00:24	1	choice	2947	R	3	1	3	15	12	B3R2G2G1R1B2B3B2B3B2B3B2B3B2B3R	0	0	6	9714	0	0	198657	201659
111512	11:00:24	1	choice	2178	B	3	1	3	16	13	B3R2G2G1R1B2B3B2B3B2B3B2B3B2B3R2B	0	0	6	9714	0	0	205738	207967
111512	11:00:24	1	feedback	65	0	3	1	3	17	14	B3R2G2G1R1B2B3B2B3B2B3B2B3B2B3R2B1	1	0	6	9714	73323	83037	205738	207967
111512	11:00:24	1	choice	5192	B	3	2	3	0	-3	B	0	0	6	5239	0	0	213420	218659
111512	11:00:24	1	choice	1249	R	3	2	3	1	-2	B3R	0	0	6	5239	0	0	224706	226004
111512	11:00:24	1	choice	1194	B	3	2	3	2	-1	B3R2B	0	0	6	5239	0	0	227959	229215
111512	11:00:24	1	feedback	87	0	3	2	3	3	0	B3R2B1	1	2	8	5239	15206	20445	227959	229215
111512	11:00:24	1	choice	27994	R	4	1	3	0	-3	R	0	0	8	28060	0	0	236871	264931
111512	11:00:24	1	choice	16600	B	4	1	3	1	-2	R3B	0	0	8	28060	0	0	267994	284645
111512	11:00:24	1	choice	1661	R	4	1	3	2	-1	R3B1R	0	0	8	28060	0	0	286481	288192
111512	11:00:24	1	choice	2361	B	4	1	3	3	0	R3B1R2B	0	0	8	28060	0	0	289721	292130
111512	11:00:24	1	feedback	109	0	4	1	3	4	1	R3B1R2B2	1	0	8	28060	29449	57509	289721	292130
111512	11:00:24	1	choice	8648	B	4	2	3	0	-3	B	0	0	8	8696	0	0	297386	306082
111512	11:00:24	1	choice	2477	R	4	2	3	1	-2	B3R	0	0	8	8696	0	0	307618	310146
111512	11:00:24	1	choice	951	B	4	2	3	2	-1	B3R2B	0	0	8	8696	0	0	312117	313125
111512	11:00:24	1	feedback	99	0	4	2	3	3	0	B3R2B2	1	2	10	8696	8921	17617	312117	313125
111512	11:00:24	1	choice	10064	R	5	1	4	0	-4	R	0	0	10	10134	0	0	318008	328142
111512	11:00:24	1	choice	2683	G	5	1	4	1	-3	R3G	0	0	10	10134	0	0	329657	332397
111512	11:00:24	1	choice	1618	R	5	1	4	2	-2	R3G2R	0	0	10	10134	0	0	334280	335943
111512	11:00:24	1	choice	1313	G	5	1	4	3	-1	R3G2R1G	0	0	10	10134	0	0	337142	338504
111512	11:00:24	1	feedback	80	0	5	1	4	4	0	R3G2R1G1	1	3	13	10134	11728	21862	337142	338504
111512	11:00:24	1	choice	11273	B	6	1	4	0	-4	B	0	0	13	11346	0	0	342875	354221
111512	11:00:24	1	choice	2034	R	6	1	4	1	-3	B3R	0	0	13	11346	0	0	355811	357898
111512	11:00:24	1	choice	1869	G	6	1	4	2	-2	B3R2G	0	0	13	11346	0	0	359058	360985
111512	11:00:24	1	choice	1233	B	6	1	4	3	-1	B3R2G2B	0	0	13	11346	0	0	362406	363693
111512	11:00:24	1	feedback	74	0	6	1	4	4	0	B3R2G2B1	1	3	16	11346	11753	23099	362406	363693
111512	11:00:24	1	choice	6119	B	7	1	4	0	-4	B	0	0	16	6184	0	0	368980	375164
111512	11:00:24	1	choice	1662	R	7	1	4	1	-3	B3R	0	0	16	6184	0	0	377118	378837
111512	11:00:24	1	choice	2702	G	7	1	4	2	-2	B3R2G	0	0	16	6184	0	0	380528	383290
111512	11:00:24	1	choice	1222	B	7	1	4	3	-1	B3R2G2B	0	0	16	6184	0	0	384898	386167
111512	11:00:24	1	choice	1269	G	7	1	4	4	0	B3R2G2B1G	0	0	16	6184	0	0	391185	392506
111512	11:00:24	1	choice	3109	nextround	7	1	4	5	1	B3R2G2B1G3nextround	0	0	16	6184	0	0	394165	397584
111512	11:00:24	1	choice	6037	nextround	8	1	4	0	-4	nextround	0	0	16	6366	0	0	398611	404977
111512	11:00:24	1	choice	2537	nextround	9	1	5	0	-5	nextround	0	0	16	2889	0	0	405999	408888
111512	11:00:24	1	choice	940	nextround	10	1	5	0	-5	nextround	0	0	16	1298	0	0	409897	411195
111512	11:00:24	1	choice	14057	nextround	11	1	5	0	-5	nextround	0	0	16	14391	0	0	412214	426605
111512	11:00:24	1	choice	829	nextround	12	1	5	0	-5	nextround	0	0	16	1187	0	0	427624	428811
