date	time	subject	trialcode	latency	response	values.problemnumber	values.subjectattempts	values.targetmoves	values.subjectmoves	expressions.excessmoves	values.movestring	expressions.targetachieved	values.problemscore	values.totalscore	expressions.firstmovetime	expressions.executiontime	expressions.solutiontime	values.t_choicestart	values.t_choiceend
111512	11:00:24	1	choice	9709	R	0	1	2	0	-2	R	0	0	0	9794	0	0	63227	73021
111512	11:00:24	1	choice	2213	B	0	1	2	1	-1	R3B	0	0	0	9794	0	0	75647	77907
111512	11:00:24	1	feedback	63	0	0	1	2	2	0	R3B1	1	3	3	9794	7323	17117	75647	77907
111512	11:00:24	1	choice	8538	R	1	1	2	0	-2	R	0	0	0	8610	0	0	88083	96693
111512	11:00:24	1	choice	2766	G	1	1	2	1	-1	R3G	0	0	0	8610	0	0	101502	104316
111512	11:00:24	1	feedback	85	0	1	1	2	2	0	R3G2	1	3	3	8610	10406	19016	101502	104316
111512	11:00:24	1	choice	2517	B	2	1	2	0	-2	B	0	0	3	2586	0	0	110105	112691
111512	11:00:24	1	choice	2135	R	2	1	2	1	-1	B3R	0	0	3	2586	0	0	116860	119039
111512	11:00:24	1	feedback	464	0	2	1	2	2	0	B3R2	1	3	6	2586	11680	14266	116860	119039
111512	11:00:24	1	choice	9644	B	3	1	3	0	-3	B	0	0	6	9714	0	0	127377	137091
111512	11:00:24	1	choice	1331	R	3	1	3	1	-2	B3R	0	0	6	9714	0	0	140925	142306
111512	11:00:24	1	choice	1869	G	3	1	3	2	-1	B3R2G	0	0	6	9714	0	0	144533	146456
111512	11:00:24	1	choice	1997	G	3	1	3	3	0	B3R2G2G	0	0	6	9714	0	0	148201	150249
111512	11:00:24	1	choice	1650	R	3	1	3	4	1	B3R2G2G1R	0	0	6	9714	0	0	153894	155593
111512	11:00:24	1	choice	1876	B	3	1	3	5	2	B3R2G2G1R1B	0	0	6	9714	0	0	157341	159271
111512	11:00:24	1	choice	1179	B	3	1	3	6	3	B3R2G2G1R1B2B	0	0	6	9714	0	0	160820	162052
111512	11:00:24	1	choice	1602	B	3	1	3	7	4	B3R2G2G1R1B2B3B	0	0	6	9714	0	0	163678	165328
