date	time	subject	trialcode	latency	response	values.problemnumber	values.subjectattempts	values.targetmoves	values.subjectmoves	expressions.excessmoves	values.movestring	expressions.targetachieved	values.problemscore	values.totalscore	expressions.firstmovetime	expressions.executiontime	expressions.solutiontime	values.t_choicestart	values.t_choiceend
111312	17:32:38	1	choice	30004	B	0	1	2	0	-2	B	0	0	0	30084	0	0	17699	47783
111312	17:32:38	1	choice	1566	resetround	0	1	2	1	-1	B3resetround	0	0	0	30084	0	0	50335	52171
111312	17:32:38	1	choice	1074	B	0	2	2	0	-2	B	0	0	0	1100	0	0	53179	54279
111312	17:32:38	1	choice	940	resetround	0	2	2	1	-1	B3resetround	0	0	0	1100	0	0	55439	56652
111312	17:32:38	1	choice	1369	B	0	3	2	0	-2	B	0	0	0	1396	0	0	57658	59054
111312	17:32:38	1	choice	1126	resetround	0	3	2	1	-1	B3resetround	0	0	0	1396	0	0	60055	61451
111312	17:32:38	1	choice	22366	R	1	1	2	0	-2	R	0	0	0	22416	0	0	76941	99357
111312	17:32:38	1	choice	998	G	1	1	2	1	-1	R3G	0	0	0	22416	0	0	100454	101468
111312	17:32:38	1	feedback	97	0	1	1	2	2	0	R3G2	1	3	3	22416	2945	25361	100454	101468
111312	17:32:38	1	choice	11987	B	2	1	2	0	-2	B	0	0	3	12021	0	0	105304	117325
111312	17:32:38	1	choice	1425	R	2	1	2	1	-1	B3R	0	0	3	12021	0	0	118581	120028
111312	17:32:38	1	feedback	135	0	2	1	2	2	0	B3R2	1	3	6	12021	3624	15645	118581	120028
111312	17:32:38	1	choice	9933	B	3	1	3	0	-3	B	0	0	6	9971	0	0	123952	133923
111312	17:32:38	1	choice	1209	R	3	1	3	1	-2	B3R	0	0	6	9971	0	0	134668	135892
111312	17:32:38	1	choice	950	B	3	1	3	2	-1	B3R2B	0	0	6	9971	0	0	137724	138699
111312	17:32:38	1	feedback	147	0	3	1	3	3	0	B3R2B1	1	3	9	9971	5961	15932	137724	138699
111312	17:32:38	1	choice	9896	B	4	1	3	0	-3	B	0	0	9	9932	0	0	142887	152819
111312	17:32:38	1	choice	971	R	4	1	3	1	-2	B3R	0	0	9	9932	0	0	153556	154547
111312	17:32:38	1	choice	859	B	4	1	3	2	-1	B3R2B	0	0	9	9932	0	0	155484	156355
111312	17:32:38	1	feedback	110	0	4	1	3	3	0	B3R2B2	1	3	12	9932	4952	14884	155484	156355
111312	17:32:38	1	choice	21175	R	5	1	4	0	-4	R	0	0	12	21204	0	0	160774	181978
111312	17:32:38	1	choice	1736	G	5	1	4	1	-3	R3G	0	0	12	21204	0	0	183628	185378
111312	17:32:38	1	choice	823	R	5	1	4	2	-2	R3G2R	0	0	12	21204	0	0	186114	186958
111312	17:32:38	1	choice	1123	G	5	1	4	3	-1	R3G2R1G	0	0	12	21204	0	0	187842	188978
111312	17:32:38	1	feedback	134	0	5	1	4	4	0	R3G2R1G1	1	3	15	21204	7808	29012	187842	188978
111312	17:32:38	1	choice	8618	B	6	1	4	0	-4	B	0	0	15	8645	0	0	192788	201433
111312	17:32:38	1	choice	800	R	6	1	4	1	-3	B3R	0	0	15	8645	0	0	202707	203522
111312	17:32:38	1	choice	1064	G	6	1	4	2	-2	B3R2G	0	0	15	8645	0	0	205459	206545
111312	17:32:38	1	choice	1000	B	6	1	4	3	-1	B3R2G2B	0	0	15	8645	0	0	208538	209561
111312	17:32:38	1	feedback	157	0	6	1	4	4	0	B3R2G2B1	1	3	18	8645	9177	17822	208538	209561
111312	17:32:38	1	choice	9242	R	7	1	4	0	-4	R	0	0	18	9284	0	0	213613	222897
111312	17:32:38	1	choice	1149	G	7	1	4	1	-3	R2G	0	0	18	9284	0	0	224729	225897
111312	17:32:38	1	choice	903	R	7	1	4	2	-2	R2G3R	0	0	18	9284	0	0	227185	228104
111312	17:32:38	1	choice	810	B	7	1	4	3	-1	R2G3R1B	0	0	18	9284	0	0	229081	229905
111312	17:32:38	1	feedback	123	0	7	1	4	4	0	R2G3R1B1	1	3	21	9284	7944	17228	229081	229905
111312	17:32:38	1	choice	34062	B	8	1	4	0	-4	B	0	0	21	34099	0	0	233844	267943
111312	17:32:38	1	choice	2066	R	8	1	4	1	-3	B3R	0	0	21	34099	0	0	268712	270799
111312	17:32:38	1	choice	975	B	8	1	4	2	-2	B3R2B	0	0	21	34099	0	0	272024	273015
111312	17:32:38	1	choice	946	G	8	1	4	3	-1	B3R2B2G	0	0	21	34099	0	0	274360	275319
111312	17:32:38	1	feedback	132	0	8	1	4	4	0	B3R2B2G3	1	3	24	34099	8425	42524	274360	275319
111312	17:32:38	1	choice	38520	R	9	1	5	0	-5	R	0	0	24	38563	0	0	279370	317933
111312	17:32:38	1	choice	745	G	9	1	5	1	-4	R2G	0	0	24	38563	0	0	318910	319677
111312	17:32:38	1	choice	1194	R	9	1	5	2	-3	R2G3R	0	0	24	38563	0	0	320598	321806
111312	17:32:38	1	choice	882	G	9	1	5	3	-2	R2G3R1G	0	0	24	38563	0	0	322630	323534
111312	17:32:38	1	choice	948	B	9	1	5	4	-1	R2G3R1G1B	0	0	24	38563	0	0	324646	325614
111312	17:32:38	1	feedback	127	0	9	1	5	5	0	R2G3R1G1B1	1	3	27	38563	8625	47188	324646	325614
111312	17:32:38	1	choice	6558	R	10	1	5	0	-5	R	0	0	27	6596	0	0	329561	336157
111312	17:32:38	1	choice	654	G	10	1	5	1	-4	R2G	0	0	27	6596	0	0	337254	337933
111312	17:32:38	1	choice	969	R	10	1	5	2	-3	R2G3R	0	0	27	6596	0	0	339038	340021
111312	17:32:38	1	choice	865	B	10	1	5	3	-2	R2G3R1B	0	0	27	6596	0	0	340918	341797
111312	17:32:38	1	choice	1073	G	10	1	5	4	-1	R2G3R1B1G	0	0	27	6596	0	0	342678	343765
111312	17:32:38	1	feedback	105	0	10	1	5	5	0	R2G3R1B1G1	1	3	30	6596	8521	15117	342678	343765
111312	17:32:38	1	choice	8502	R	11	1	5	0	-5	R	0	0	30	8540	0	0	347680	356220
111312	17:32:38	1	choice	7278	resetround	11	1	5	1	-4	R3resetround	0	0	30	8540	0	0	357381	364929
111312	17:32:38	1	choice	2806	B	11	2	5	0	-5	B	0	0	30	2829	0	0	365935	368764
111312	17:32:38	1	choice	838	R	11	2	5	1	-4	B3R	0	0	30	2829	0	0	369821	370676
111312	17:32:38	1	choice	728	G	11	2	5	2	-3	B3R2G	0	0	30	2829	0	0	371707	372460
111312	17:32:38	1	choice	698	B	11	2	5	3	-2	B3R2G2B	0	0	30	2829	0	0	373309	374029
111312	17:32:38	1	choice	1230	G	11	2	5	4	-1	B3R2G2B1G	0	0	30	2829	0	0	375180	376428
111312	17:32:38	1	feedback	129	0	11	2	5	5	0	B3R2G2B1G1	1	2	32	2829	9712	12541	375180	376428
111312	17:32:38	1	choice	8669	B	12	1	5	0	-5	B	0	0	32	8706	0	0	381481	390187
111312	17:32:38	1	choice	907	R	12	1	5	1	-4	B3R	0	0	32	8706	0	0	391004	391931
111312	17:32:38	1	choice	1005	B	12	1	5	2	-3	B3R2B	0	0	32	8706	0	0	393612	394643
111312	17:32:38	1	choice	928	G	12	1	5	3	-2	B3R2B2G	0	0	32	8706	0	0	395516	396459
111312	17:32:38	1	choice	873	B	12	1	5	4	-1	B3R2B2G3B	0	0	32	8706	0	0	397596	398483
111312	17:32:38	1	feedback	129	0	12	1	5	5	0	B3R2B2G3B1	1	3	35	8706	9049	17755	397596	398483
