date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev
090412	13:37:24	10040	Language	Language	0	English	213479	0	0	13:37:24	213614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	Session	Session	0	Baseline	996	0	0	13:37:24	214693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	HandEng	HandEng	0	Right	987932	0	0	13:37:24	1202705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	CubeEng	CubeEng	1	1Cube	27881	0	0	13:37:24	1275409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	pm.simpleEngRight	blank.simpleEng	2	0	2187	1	0	13:37:24	1305397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	pm.simpleEngRight	pm.simpleEng	2	57	594	0	0	13:37:24	1306023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	pm.simpleEngRight	blank.simpleEng	2	0	1987	1	0	13:37:24	1308036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	pm.simpleEngRight	pm.simpleEng	2	57	339	0	0	13:37:24	1308409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	pm.simpleEngRight	blank.simpleEng	2	0	1787	1	0	13:37:24	1310221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	pm.simpleEngRight	pm.simpleEng	2	57	314	0	0	13:37:24	1310568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	pm.simpleEngRight	blank.simpleEng	2	0	2487	1	0	13:37:24	1313087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	pm.simpleEngRight	pm.simpleEng	2	57	248	0	0	13:37:24	1313367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	pm.simpleEngRight	blank.simpleEng	2	0	2087	1	0	13:37:24	1315473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	pm.simpleEngRight	pm.simpleEng	2	57	262	0	0	13:37:24	1315766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
090412	13:37:24	10040	pm.simpleEngRight	blank.simpleEng	2	0	1487	1	0	13:37:24	1317272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
