date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev
070612	13:57:54	10022	Language	Language	0	French	235441	0	0	13:57:54	235801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	Session	Session	0	Baseline	1252	0	0	13:57:54	237174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	HandFr	HandFr	0	RightFr	675734	0	0	13:57:54	912986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	AudioCheckFr	WordsFr	0	0	0	0	0	13:57:54	955188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	CubeFr	CubeFr	1	1Cube	25794	0	0	13:57:54	986078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	blank.simpleFr	2	57	614	0	0	13:57:54	1075829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	blank.simpleFr	2	0	2487	1	0	13:57:54	1078668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	pm.simpleFr	2	57	2524	0	0	13:57:54	1081227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	blank.simpleFr	2	0	1587	1	0	13:57:54	1082839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	pm.simpleFr	2	57	687	0	0	13:57:54	1083559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	blank.simpleFr	2	0	1787	1	0	13:57:54	1085372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	pm.simpleFr	2	57	508	0	0	13:57:54	1085919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	blank.simpleFr	2	0	1887	1	0	13:57:54	1087838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	pm.simpleFr	2	57	409	0	0	13:57:54	1088278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	blank.simpleFr	2	0	2187	1	0	13:57:54	1090490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	pm.simpleFr	2	57	573	0	0	13:57:54	1091103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	blank.simpleFr	2	0	2087	1	0	13:57:54	1093222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	pm.simpleFr	2	57	465	0	0	13:57:54	1093728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
070612	13:57:54	10022	pm.simpleFrRight	blank.simpleFr	2	0	2387	1	0	13:57:54	1096141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
