date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev
062812	18:59:09	88888	Language	Language	0	English	29311	0	0	18:59:09	29446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062812	18:59:09	88888	Session	Session	0	Baseline	2237	0	0	18:59:09	31776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062812	18:59:09	88888	HandEng	HandEng	0	Left	1570	0	0	18:59:09	33442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062812	18:59:09	88888	CubeEng	CubeEng	1	1Cube	1183	0	0	18:59:09	51035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
