date	time	subject	blockcode	trialcode	values.TaskNumber	response	latency	correct	values.Score	script.starttime	script.elapsedtime	values.ScoreS7	values.Word1	values.Word2	values.Word3	values.Word4	values.Word5	values.Word6	values.Word7	values.Word8	values.DigitSpanFwrd	values.DigitSpanBack	values.ScoreAbs	values.Contour	values.Numbers	values.Hands	values.corsiblockspanFwrd	values.corsiblockspanRev
083012	12:48:38	10038	Language	Language	0	English	12054	0	0	12:48:38	12170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	Session	Session	0	Baseline	708	0	0	12:48:38	12956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	HandEng	HandEng	0	Right	732519	0	0	12:48:38	745561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	CubeEng	CubeEng	1	1Cube	33414	0	0	12:48:38	802338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	pm.simpleEngRight	blank.simpleEng	2	0	1887	1	0	12:48:38	847386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	pm.simpleEngRight	pm.simpleEng	2	57	3004	0	0	12:48:38	850425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	pm.simpleEngRight	blank.simpleEng	2	0	2287	1	0	12:48:38	852731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	pm.simpleEngRight	pm.simpleEng	2	57	1132	0	0	12:48:38	853904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	pm.simpleEngRight	blank.simpleEng	2	0	2087	1	0	12:48:38	856009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	pm.simpleEngRight	pm.simpleEng	2	57	397	0	0	12:48:38	856449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	pm.simpleEngRight	blank.simpleEng	2	0	2487	1	0	12:48:38	858955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	pm.simpleEngRight	pm.simpleEng	2	57	267	0	0	12:48:38	859262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	pm.simpleEngRight	blank.simpleEng	2	0	2187	1	0	12:48:38	861474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	pm.simpleEngRight	pm.simpleEng	2	57	372	0	0	12:48:38	861887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
083012	12:48:38	10038	pm.simpleEngRight	blank.simpleEng	2	0	1687	1	0	12:48:38	863607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
