parenttype	parentname	name	value	index	id
block	PracticeFr	windowincthreshold	0	-1	227
block	PracticeFr	windowincunit	33	-1	226
block	PracticeFr	windowmaxcenter	0	-1	228
block	PracticeFr	windowmincenter	0	-1	229
block	PracticeFr	windowonset	0	-1	231
block	PracticeFr	windowwidth	0	-1	232
block	Trial	correct	0	-1	19
block	Trial	correctcount	0	-1	20
block	Trial	correctstreak	0	-1	21
block	Trial	count	0	-1	22
block	Trial	currentblocknumber	0	-1	26
block	Trial	currenttrialnumber	0	-1	36
block	Trial	elapsedtime	248418065	-1	40
block	Trial	error	0	-1	49
block	Trial	errorcount	0	-1	50
block	Trial	errorstreak	0	-1	51
block	Trial	inwindow	0	-1	68
block	Trial	inwindowcount	0	-1	69
block	Trial	inwindowstreak	0	-1	70
block	Trial	latency	0	-1	87
block	Trial	maxlatency	0	-1	94
block	Trial	meanlatency	0	-1	98
block	Trial	medianlatency	0	-1	101
block	Trial	minlatency	0	-1	104
block	Trial	name	Trial	-1	110
block	Trial	next		-1	113
block	Trial	notinwindow	1	-1	117
block	Trial	notinwindowcount	0	-1	118
block	Trial	notinwindowstreak	0	-1	119
block	Trial	numcorrect	0	-1	120
block	Trial	numinwindow	0	-1	121
block	Trial	percentcorrect	0	-1	131
block	Trial	percentinwindow	0	-1	132
block	Trial	recorddata	1	-1	138
block	Trial	response		-1	144
block	Trial	responsex	-1	-1	146
block	Trial	responsey	-1	-1	147
block	Trial	screencapture	0	-1	150
block	Trial	screencolor	4278190080	-1	151
block	Trial	screencolorblue	0	-1	152
block	Trial	screencolorgreen	0	-1	153
block	Trial	screencolorred	0	-1	154
block	Trial	sdlatency	0	-1	155
block	Trial	selectedcount	0	-1	158
block	Trial	showmousecursor	0	-1	164
block	Trial	sumlatency	0	-1	178
block	Trial	timeout	0	-1	189
block	Trial	totalcorrectcount	0	-1	192
block	Trial	totalcount	0	-1	193
block	Trial	totalerrorcount	0	-1	194
block	Trial	totalinwindowcount	0	-1	195
block	Trial	totalmaxlatency	0	-1	196
block	Trial	totalmeanlatency	0	-1	197
block	Trial	totalmedianlatency	0	-1	198
block	Trial	totalminlatency	0	-1	199
block	Trial	totalnumcorrect	0	-1	201
block	Trial	totalnuminwindow	0	-1	202
block	Trial	totalpercentcorrect	0	-1	203
block	Trial	totalpercentinwindow	0	-1	204
block	Trial	totalsdlatency	0	-1	205
block	Trial	totalsumlatency	0	-1	206
block	Trial	totaltrialcount	0	-1	207
block	Trial	totalvarlatency	0	-1	208
block	Trial	trialcount	0	-1	210
block	Trial	trialscount	100	-1	212
block	Trial	typename	block	-1	213
block	Trial	unselectedcount	0	-1	214
block	Trial	varlatency	0	-1	216
block	Trial	windowcenter	0	-1	222
block	Trial	windowdecthreshold	0	-1	224
block	Trial	windowdecunit	33	-1	223
block	Trial	windowhitduration	0	-1	225
block	Trial	windowincthreshold	0	-1	227
block	Trial	windowincunit	33	-1	226
block	Trial	windowmaxcenter	0	-1	228
block	Trial	windowmincenter	0	-1	229
block	Trial	windowonset	0	-1	231
block	Trial	windowwidth	0	-1	232
computer	computer	availablememory	770040	-1	4
computer	computer	countrycode	CA	-1	23
computer	computer	cpuspeed	2394	-1	24
computer	computer	ipaddress.1	0.0.0.0	1	71
computer	computer	ipaddress.2	0.0.0.0	2	71
computer	computer	ipaddress.3	0.0.0.0	3	71
computer	computer	ipaddress.4	192.168.1.103	4	71
computer	computer	ipaddress.5	169.254.77.147	5	71
computer	computer	language	English	-1	77
computer	computer	languagecode	en	-1	78
computer	computer	languageid	4105	-1	79
computer	computer	macaddress.1	00-ff-6e-95-56-de	1	92
computer	computer	macaddress.2	00-ff-f0-04-e8-05	2	92
computer	computer	macaddress.3	f0-de-f1-23-66-7f	3	92
computer	computer	macaddress.4	00-27-10-e7-fb-68	4	92
